Unique_ID,Location_type,Zipcode,name,type,measurement,value,lat,lon,AQI_level
ZC_1605,Zip_code,1605.0,Worcester,OZONE_AQI,AQI,29.72922911334408,42.2743,-71.7904,good
ZC_61109,Zip_code,61109.0,Rockford,PM25,UG/M3,9.270018187030823,42.2166,-89.0202,
ZC_61109,Zip_code,61109.0,Rockford,PM25_AQI,AQI,35.86333978676141,42.2166,-89.0202,good
ZC_19151,Zip_code,19151.0,Philadelphia,WS,M/S,1.1501154045570623,39.9763,-75.2474,
ZC_19151,Zip_code,19151.0,Philadelphia,TEMP,C,17.928283869502366,39.9763,-75.2474,
ZC_19151,Zip_code,19151.0,Philadelphia,RHUM,PERCENT,55.194461473335615,39.9763,-75.2474,
ZC_19151,Zip_code,19151.0,Philadelphia,WD,DEGREES,180.3537916951697,39.9763,-75.2474,
ZC_5261,Zip_code,5261.0,Bennington,OZONE,PPB,28.741128373126628,42.7972,-73.2204,
ZC_6897,Zip_code,6897.0,Westport,TEMP,C,12.63521183171094,41.1913,-73.4277,
ZC_6897,Zip_code,6897.0,Westport,RWD,DEGREES,195.54509444300524,41.1913,-73.4277,
ZC_6897,Zip_code,6897.0,Westport,RWS,KNOTS,4.331520691421749,41.1913,-73.4277,
ZC_3870,Zip_code,3870.0,Portsmouth,PM25,UG/M3,6.839035680391462,42.9927,-70.7712,
ZC_3870,Zip_code,3870.0,Portsmouth,PM10_AQI,AQI,13.961516829148678,42.9927,-70.7712,good
ZC_3870,Zip_code,3870.0,Portsmouth,OZONE_AQI,AQI,24.312477297605863,42.9927,-70.7712,good
ZC_3870,Zip_code,3870.0,Portsmouth,PM25_AQI,AQI,27.693895068873413,42.9927,-70.7712,good
ZC_1840,Zip_code,1840.0,Haverhill,PM25,UG/M3,5.3186468258161765,42.7079,-71.1613,
ZC_1840,Zip_code,1840.0,Haverhill,PM25_AQI,AQI,3.182314216173514,42.7079,-71.1613,good
ZC_1840,Zip_code,1840.0,Haverhill,OZONE_AQI,AQI,23.709597200574933,42.7079,-71.1613,good
ZC_71291,Zip_code,71291.0,Monroe,OZONE_AQI,AQI,22.149216530269484,32.5038,-92.132,good
ZC_71291,Zip_code,71291.0,Monroe,OZONE,PPB,24.045811878554005,32.5038,-92.132,
ZC_1845,Zip_code,1845.0,Haverhill,OZONE,PPB,26.08253682632976,42.6986,-71.1331,
ZC_1606,Zip_code,1606.0,Worcester,OZONE_AQI,AQI,29.72922911334408,42.3061,-71.7955,good
