,Unique_ID,lat,lon
314,S_060430006,37.55000767500001,-119.84266809999998
315,S_060431001,37.74809239,-119.58811643
316,S_060450006,39.1504994,-123.20653605
317,S_060450008,39.1468404,-123.19981777
318,S_060450010,39.4375718125,-123.7880236875
319,S_060452002,39.41237178571429,-123.3533420714286
320,S_060470003,37.29424690000002,-120.46490017142855
321,S_060510001,37.64744622222222,-118.96991522222224
322,S_060510005,37.959333055555554,-119.12007327777776
323,S_060510011,37.96883649375,-118.99292691875
324,S_060530002,36.50292544375,-121.7745291875
325,S_060531003,39.60402982692308,-102.1916381153846
326,S_060539974,36.42687900000001,-121.3273189
327,S_060539975,36.326972,-121.245819
328,S_060539996,37.1414006,-121.66311260000002
329,S_060539998,36.57278093333333,-121.80489666666664
330,S_060539999,36.6084504,-121.701215
331,S_060550004,38.287259095,-122.28035245
332,S_060556001,37.337374,-95.26689290000002
333,S_060570005,39.2267314,-121.0583318
334,S_060571001,39.3486392,-120.13236452
335,S_060590007,33.83438002105263,-117.9232198631579
336,S_060590008,33.81801775454546,-117.8937839181818
337,S_060592022,33.60707582307692,-117.66360813846153
338,S_060595001,33.93002911153846,-117.94787326923073
339,S_060610004,39.10042894,-120.95294277
340,S_060610006,38.75034663,-121.26143312
341,S_060611004,39.16657113333333,-120.14759373333334
342,S_060612001,38.89,-121.3
343,S_060631007,40.07102302,-93.89307618
344,S_060631010,39.80960762,-120.47012764000002
345,S_060639901,34.28035452,-98.92670662
346,S_060650010,33.83660229166667,-115.87739871250004
347,S_060650012,33.920758,-116.858419
348,S_060650016,33.584343590909086,-117.04665622727276
349,S_060652002,33.71181647857143,-116.21605382857146
350,S_060652005,33.572019,-116.063823
351,S_060655001,33.83496361249999,-116.51986926875
352,S_060656001,33.78365466666666,-117.22847966666669
353,S_060658001,33.997932560869565,-117.41703663043482
354,S_060658005,33.996387000000006,-117.4925
355,S_060659001,33.667509988888895,-117.3461487
356,S_060659003,33.613705624999994,-114.598632675
357,S_060670002,37.708960125,-120.5682222
358,S_060670006,38.6056809375,-121.37364862500002
359,S_060670010,38.573717253333335,-121.49371281999998
360,S_060670011,38.37086776428571,-121.38919644285714
361,S_060670012,38.680186141666674,-121.171224425
362,S_060670015,38.59534839999999,-121.50308946666668
363,S_060675003,38.49508435,-121.2028257
364,S_060690002,38.5101377,-106.96531195
365,S_060690003,36.48963808333334,-121.17801075
366,S_060710001,34.89521513333333,-117.01977373333337
367,S_060710005,34.24297450000001,-117.27429181818184
368,S_060710012,34.469500878571424,-117.58679750714286
369,S_060710013,34.418514975,-116.922076075
370,S_060710026,42.10267566666666,-86.08014425
371,S_060710027,36.457934090909085,-97.57480563636362
372,S_060710306,34.476409106666665,-117.36282688666668
373,S_060711001,35.1451920625,-115.5099092
374,S_060711004,34.09977578947369,-117.64128016842106
375,S_060711234,35.774545625,-117.371314625
376,S_060712002,34.1004378,-117.46209492666664
377,S_060714001,34.419126866666666,-117.3060808
378,S_060714003,34.059626,-117.147347
379,S_060719002,33.9064125,-115.98259358333333
380,S_060719004,34.106532800000004,-117.2653704
381,S_060730001,32.633435275,-117.065354375
382,S_060731008,33.24727068,-117.37346289
383,S_060731014,32.58098448,-116.93074099
384,S_060731016,32.839765125,-117.129192425
385,S_060731022,32.79059624,-116.94645343
386,S_060750005,37.769908275,-122.407526975
387,S_060771002,37.944649975,-121.28520864285716
388,S_060772010,37.798415931250005,-121.2169427375
389,S_060773005,35.44070620882353,-119.59526107058824
390,S_060790005,35.6225316875,-120.677279625
391,S_060792004,35.02330111111111,-120.52753105555556
392,S_060792006,35.25651,-120.6693
393,S_060792007,35.04676,-120.58777
394,S_060793001,35.3661115625,-120.84722025
395,S_060794002,35.0315,-120.50101
396,S_060798002,35.478184892857136,-120.65787666071428
397,S_060798005,35.64366,-120.23134
398,S_060798006,35.35474,-120.04013
399,S_060799999,35.48871366666666,-120.85574966666668
400,S_060811001,37.483697975,-122.21387344999998
401,S_060830011,34.42397572727273,-119.69488096363636
402,S_060831008,34.937464125000005,-120.43579713125
403,S_060831013,34.67173437,-120.4529489
404,S_060831021,34.40005926,-119.50016858
405,S_060831025,34.24061805714286,-119.24274491428572
406,S_060832004,34.64817405,-120.45711605
407,S_060832011,34.4405652,-119.82771795
408,S_060833001,34.60840269,-120.0765024
409,S_060850002,36.999787477272726,-121.5735020681818
410,S_060850005,37.350155395,-121.89126614
411,S_060850006,37.33807622222222,-121.84801522222224
412,S_060851001,37.22897695,-121.974543775
413,S_060852006,37.08386895,-121.60819255
414,S_060870007,36.977452675,-122.00533141875
415,S_060871005,37.063748,-122.08249893333334
416,S_060879990,37.0669548,-122.05702579999998
417,S_060879991,37.04867206666666,-122.0740348
418,S_060879993,38.2557966,-103.89555626666667
419,S_060890004,40.560751880000005,-122.38294262
420,S_060890007,40.4531,-122.2978
421,S_060890009,40.687156975,-122.394510475
422,S_060893003,40.50476666666667,-121.44661266666668
423,S_060932001,41.72937858,-122.63385427
424,S_060950004,38.10352896470588,-122.25005057058824
425,S_060950005,38.227066,-122.075624
426,S_060953002,38.35499168333334,-121.9776160222222
427,S_060956001,38.1557502,-121.69134390000002
428,S_060959999,38.187480066666666,-121.72232796666668
429,S_060970004,38.40295045,-122.8210873
430,S_060976002,38.1223856,-122.4778593
431,S_060990005,37.64190965833333,-120.99435830416664
432,S_060990006,37.48846800000001,-120.83572266666664
433,S_061010003,39.13968169666666,-121.61774678666666
434,S_061010004,39.205665,-121.820265
435,S_061030004,40.26209302499999,-122.09274165
436,S_061030007,40.17271217,-122.25071148
437,S_061070006,36.56720000000001,-118.777199
438,S_061070009,36.489399,-118.82689699999996
439,S_061072002,36.33961166333333,-119.29123078333332
440,S_061072010,36.0319,-119.05500000000002
441,S_061090005,37.980718225,-120.3792272
